Round,Date,EquipoLocal,EquipoVisitante,GolesLocal,GolesVisitante,TotalGoals,Resultado,TotalGoles
14,25-11-2023 0:00,Valencia,Celta Vigo,0,0,0,Tie,0
14,25-11-2023 0:00,Rayo Vallecano,Barcelona,1,1,2,Tie,2
14,24-11-2023 0:00,Alaves,Granada CF,3,1,4,Home,4
13,12-11-2023 0:00,Atl. Madrid,Villarreal,3,1,4,Home,4
13,12-11-2023 0:00,Sevilla,Betis,1,1,2,Tie,2
13,12-11-2023 0:00,Barcelona,Alaves,2,1,3,Home,3
13,11-11-2023 0:00,Real Madrid,Valencia,5,1,6,Home,6
13,11-11-2023 0:00,Granada CF,Getafe,1,1,2,Tie,2
13,11-11-2023 0:00,Osasuna,Las Palmas,1,1,2,Tie,2
13,11-11-2023 0:00,Almeria,Real Sociedad,1,3,4,Away,4
13,11-11-2023 0:00,Rayo Vallecano,Girona,1,2,3,Away,3
13,10-11-2023 0:00,Ath Bilbao,Celta Vigo,4,3,7,Home,7
12,06-11-2023 0:00,Getafe,Cadiz CF,1,0,1,Home,1
12,05-11-2023 0:00,Real Madrid,Rayo Vallecano,0,0,0,Tie,0
12,05-11-2023 0:00,Villarreal,Ath Bilbao,2,3,5,Away,5
12,05-11-2023 0:00,Valencia,Granada CF,1,0,1,Home,1
12,05-11-2023 0:00,Alaves,Almeria,1,0,1,Home,1
12,04-11-2023 0:00,Real Sociedad,Barcelona,0,1,1,Away,1
12,04-11-2023 0:00,Celta Vigo,Sevilla,1,1,2,Tie,2
12,04-11-2023 0:00,Betis,Mallorca,2,0,2,Home,2
12,04-11-2023 0:00,Osasuna,Girona,2,4,6,Away,6
12,03-11-2023 0:00,Las Palmas,Atl. Madrid,2,1,3,Home,3
11,30-10-2023 0:00,Granada CF,Villarreal,2,3,5,Away,5
11,29-10-2023 0:00,Atl. Madrid,Alaves,2,1,3,Home,3
11,29-10-2023 0:00,Ath Bilbao,Valencia,2,2,4,Tie,4
11,29-10-2023 0:00,Rayo Vallecano,Real Sociedad,2,2,4,Tie,4
11,29-10-2023 0:00,Betis,Osasuna,2,1,3,Home,3
11,28-10-2023 0:00,Cadiz CF,Sevilla,2,2,4,Tie,4
11,28-10-2023 0:00,Mallorca,Getafe,0,0,0,Tie,0
11,28-10-2023 0:00,Barcelona,Real Madrid,1,2,3,Away,3
11,28-10-2023 0:00,Almeria,Las Palmas,1,2,3,Away,3
11,27-10-2023 0:00,Girona,Celta Vigo,1,0,1,Home,1
10,23-10-2023 0:00,Valencia,Cadiz CF,2,0,2,Home,2
10,22-10-2023 0:00,Barcelona,Ath Bilbao,1,0,1,Home,1
10,22-10-2023 0:00,Villarreal,Alaves,1,1,2,Tie,2
10,22-10-2023 0:00,Girona,Almeria,5,2,7,Home,7
10,22-10-2023 0:00,Las Palmas,Rayo Vallecano,0,1,1,Away,1
10,21-10-2023 0:00,Celta Vigo,Atl. Madrid,0,3,3,Away,3
10,21-10-2023 0:00,Sevilla,Real Madrid,1,1,2,Tie,2
10,21-10-2023 0:00,Getafe,Betis,1,1,2,Tie,2
10,21-10-2023 0:00,Real Sociedad,Mallorca,1,0,1,Home,1
10,20-10-2023 0:00,Osasuna,Granada CF,2,0,2,Home,2
9,08-10-2023 0:00,Granada CF,Barcelona,2,2,4,Tie,4
9,08-10-2023 0:00,Alaves,Betis,1,1,2,Tie,2
9,08-10-2023 0:00,Celta Vigo,Getafe,2,2,4,Tie,4
9,08-10-2023 0:00,Atl. Madrid,Real Sociedad,2,1,3,Home,3
9,08-10-2023 0:00,Villarreal,Las Palmas,1,2,3,Away,3
9,07-10-2023 0:00,Sevilla,Rayo Vallecano,2,2,4,Tie,4
9,07-10-2023 0:00,Mallorca,Valencia,1,1,2,Tie,2
9,07-10-2023 0:00,Real Madrid,Osasuna,4,0,4,Home,4
9,07-10-2023 0:00,Cadiz CF,Girona,0,1,1,Away,1
9,06-10-2023 0:00,Ath Bilbao,Almeria,3,0,3,Home,3
8,02-10-2023 0:00,Las Palmas,Celta Vigo,2,1,3,Home,3
8,01-10-2023 0:00,Atl. Madrid,Cadiz CF,3,2,5,Home,5
8,01-10-2023 0:00,Betis,Valencia,3,0,3,Home,3
8,01-10-2023 0:00,Alaves,Osasuna,0,2,2,Away,2
8,01-10-2023 0:00,Almeria,Granada CF,3,3,6,Tie,6
8,30-09-2023 0:00,Real Sociedad,Ath Bilbao,3,0,3,Home,3
8,30-09-2023 0:00,Girona,Real Madrid,0,3,3,Away,3
8,30-09-2023 0:00,Rayo Vallecano,Mallorca,2,2,4,Tie,4
8,30-09-2023 0:00,Getafe,Villarreal,0,0,0,Tie,0
8,29-09-2023 0:00,Barcelona,Sevilla,1,0,1,Home,1
7,28-09-2023 0:00,Osasuna,Atl. Madrid,0,2,2,Away,2
7,28-09-2023 0:00,Celta Vigo,Alaves,1,1,2,Tie,2
7,28-09-2023 0:00,Granada CF,Betis,1,1,2,Tie,2
7,27-09-2023 0:00,Cadiz CF,Rayo Vallecano,0,0,0,Tie,0
7,27-09-2023 0:00,Valencia,Real Sociedad,0,1,1,Away,1
7,27-09-2023 0:00,Ath Bilbao,Getafe,2,2,4,Tie,4
7,27-09-2023 0:00,Real Madrid,Las Palmas,2,0,2,Home,2
7,27-09-2023 0:00,Villarreal,Girona,1,2,3,Away,3
7,26-09-2023 0:00,Mallorca,Barcelona,2,2,4,Tie,4
7,26-09-2023 0:00,Sevilla,Almeria,5,1,6,Home,6
6,24-09-2023 0:00,Atl. Madrid,Real Madrid,3,1,4,Home,4
6,24-09-2023 0:00,Betis,Cadiz CF,1,1,2,Tie,2
6,24-09-2023 0:00,Las Palmas,Granada CF,1,0,1,Home,1
6,24-09-2023 0:00,Rayo Vallecano,Villarreal,1,1,2,Tie,2
6,24-09-2023 0:00,Real Sociedad,Getafe,4,3,7,Home,7
6,23-09-2023 0:00,Almeria,Valencia,2,2,4,Tie,4
6,23-09-2023 0:00,Barcelona,Celta Vigo,3,2,5,Home,5
6,23-09-2023 0:00,Osasuna,Sevilla,0,0,0,Tie,0
6,23-09-2023 0:00,Girona,Mallorca,5,3,8,Home,8
6,22-09-2023 0:00,Alaves,Ath Bilbao,0,2,2,Away,2
5,18-09-2023 0:00,Granada CF,Girona,2,4,6,Away,6
5,17-09-2023 0:00,Real Madrid,Real Sociedad,2,1,3,Home,3
5,17-09-2023 0:00,Sevilla,Las Palmas,1,0,1,Home,1
5,17-09-2023 0:00,Villarreal,Almeria,2,1,3,Home,3
5,17-09-2023 0:00,Getafe,Osasuna,3,2,5,Home,5
5,16-09-2023 0:00,Barcelona,Betis,5,0,5,Home,5
5,16-09-2023 0:00,Celta Vigo,Mallorca,0,1,1,Away,1
5,16-09-2023 0:00,Valencia,Atl. Madrid,3,0,3,Home,3
5,16-09-2023 0:00,Ath Bilbao,Cadiz CF,3,0,3,Home,3
5,15-09-2023 0:00,Rayo Vallecano,Alaves,2,0,2,Home,2
4,03-09-2023 0:00,Osasuna,Barcelona,1,2,3,Away,3
4,03-09-2023 0:00,Mallorca,Ath Bilbao,0,0,0,Tie,0
4,03-09-2023 0:00,Girona,Las Palmas,1,0,1,Home,1
4,02-09-2023 0:00,Betis,Rayo Vallecano,1,0,1,Home,1
4,02-09-2023 0:00,Alaves,Valencia,1,0,1,Home,1
4,02-09-2023 0:00,Real Madrid,Getafe,2,1,3,Home,3
4,02-09-2023 0:00,Real Sociedad,Granada CF,5,3,8,Home,8
4,01-09-2023 0:00,Almeria,Celta Vigo,2,3,5,Away,5
4,01-09-2023 0:00,Cadiz CF,Villarreal,3,1,4,Home,4
3,28-08-2023 0:00,Rayo Vallecano,Atl. Madrid,0,7,7,Away,7
3,28-08-2023 0:00,Getafe,Alaves,1,0,1,Home,1
3,27-08-2023 0:00,Ath Bilbao,Betis,4,2,6,Home,6
3,27-08-2023 0:00,Valencia,Osasuna,1,2,3,Away,3
3,27-08-2023 0:00,Villarreal,Barcelona,3,4,7,Away,7
3,26-08-2023 0:00,Sevilla,Girona,1,2,3,Away,3
3,26-08-2023 0:00,Granada CF,Mallorca,3,2,5,Home,5
3,26-08-2023 0:00,Cadiz CF,Almeria,1,1,2,Tie,2
3,25-08-2023 0:00,Celta Vigo,Real Madrid,0,1,1,Away,1
3,25-08-2023 0:00,Las Palmas,Real Sociedad,0,0,0,Tie,0
2,21-08-2023 0:00,Granada CF,Rayo Vallecano,0,2,2,Away,2
2,21-08-2023 0:00,Alaves,Sevilla,4,3,7,Home,7
2,20-08-2023 0:00,Betis,Atl. Madrid,0,0,0,Tie,0
2,20-08-2023 0:00,Barcelona,Cadiz CF,2,0,2,Home,2
2,20-08-2023 0:00,Girona,Getafe,3,0,3,Home,3
2,19-08-2023 0:00,Osasuna,Ath Bilbao,0,2,2,Away,2
2,19-08-2023 0:00,Almeria,Real Madrid,1,3,4,Away,4
2,19-08-2023 0:00,Real Sociedad,Celta Vigo,1,1,2,Tie,2
2,18-08-2023 0:00,Valencia,Las Palmas,1,0,1,Home,1
2,18-08-2023 0:00,Mallorca,Villarreal,0,1,1,Away,1
1,14-08-2023 0:00,Atl. Madrid,Granada CF,3,1,4,Home,4
1,14-08-2023 0:00,Cadiz CF,Alaves,1,0,1,Home,1
1,13-08-2023 0:00,Getafe,Barcelona,0,0,0,Tie,0
1,13-08-2023 0:00,Villarreal,Betis,1,2,3,Away,3
1,13-08-2023 0:00,Celta Vigo,Osasuna,0,2,2,Away,2
1,12-08-2023 0:00,Ath Bilbao,Real Madrid,0,2,2,Away,2
1,12-08-2023 0:00,Las Palmas,Mallorca,1,1,2,Tie,2
1,12-08-2023 0:00,Real Sociedad,Girona,1,1,2,Tie,2
1,11-08-2023 0:00,Sevilla,Valencia,1,2,3,Away,3
1,11-08-2023 0:00,Almeria,Rayo Vallecano,0,2,2,Away,2
